web_scraper_order,web_scraper_start_url,container_autreanimaux,Nom,Prix,Adresse,Image_lien
"1771110287-31","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/oies-4263743","Oies","45 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4263743_uploaded_image1_1687283716.jpg"
"1771110290-32","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-4268218","Perruches ondulées","20 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg"
"1771110293-33","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-golden-shaded-4268857","Chat persan chinchilla golden shaded","500 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4268857_uploaded_image1_1687596952.jpg"
"1771110296-34","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-blue-golden-shaded-4268866","Chat persan chinchilla blue golden shaded","650 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1771110299-35","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persans-chinchilla-golden-shaded-4268926","Chatons persans chinchilla golden shaded","500 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1771110302-36","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/autruche-4274068","Autruche","40 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4274068_uploaded_image1_1688027259.jpg"
"1771110305-37","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/canard-4251761","Canard","30 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4619825_uploaded_image1_1709296934.jpg"
"1771110308-38","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chat-tigre-4290086","Chat tigré","60 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4290086_uploaded_image1_1689084975.jpg"
"1771110311-39","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chat-tigre-4290090","Chat tigré","60 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4290086_uploaded_image1_1689084975.jpg"
"1771110314-40","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/poussins-dautruche-4292496","Poussins d'autruche","50 000 CFA","Bambey, Sénégal",""
"1771110317-41","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cailles-de-chair-4327166","Cailles de chair","500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5514762_uploaded_image2_1757337112.jpeg"
"1771110320-42","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-4331654","Perroquets","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg"
"1771110322-43","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-4331659","Perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1771110325-44","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-gimalayen-siamois-4333502","Chaton Gimalayen Siamois","250 000 CFA","Fann, Dakar, Sénégal",""
"1771110328-45","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/taureau-4335558","Taureau","320 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg"
"1771110331-46","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4365267","Chaton","Prix sur demande","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4365267_uploaded_image1_1694000653.jpg"
"1771110333-47","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/buf-4379382","Bœuf","450 000 CFA","Dakar, Sénégal",""
"1771110336-48","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-pair-4381112","Dinde rouge pair","35 000 CFA","Dakar, Sénégal",""
"1771110339-49","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-4386249","Chat Persan","650 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg"
"1771110345-50","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chevre-4387674","Chèvre","80 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5315130_uploaded_image1_1746566615.jpg"
"1771110349-51","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/veaux-4407653","Veaux","450 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4407653_uploaded_image1_1696730126.jpg"
"1771110352-52","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/pintades-4408799","Pintades","40 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4408799_uploaded_image1_1696809191.jpg"
"1771110354-53","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/dindes-4408804","Dindes","30 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4917420_uploaded_image1_1724966404.jpg"
"1771110378-54","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4411374","Perroquet","50 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg"
"1771110380-55","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/pintade-4412768","Pintade","7 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3862604_uploaded_image1_1662310160.jpg"
"1771110383-56","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/paon-4435457","Paon","65 000 CFA","Yoff, Dakar, Sénégal",""
"1771110387-57","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/paon-4451044","Paon","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg"
"1771110391-58","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4452994","Perruche ondulée","7 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg"
"1771110395-59","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4454743","Cailles","1 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png"
"1771110398-60","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-4456156","Perruches ondulées","15 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg"
"1771110401-61","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruche-anglaise-4456172","Perruche Anglaise","40 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4456156_uploaded_image1_1699884359.jpg"
"1771110406-62","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/pintade-4465594","Pintade","75 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4408799_uploaded_image1_1696809191.jpg"
"1771110409-63","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cochons-4503058","Cochons","20 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4503064_uploaded_image1_1702806770.jpg"
"1771110412-64","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cochons-4503064","Cochons","20 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4503064_uploaded_image1_1702806770.jpg"
"1771110417-65","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-4506000","Couple dinde","40 000 CFA","Kolda, Sénégal","https://images.coinafrique.com/thumb_3169645_uploaded_image2_1623581040.jpeg"
"1771110420-66","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chatons-serval-4517799","Chatons Serval","1 500 000 CFA","Saint Louis, Sénégal",""
"1771110424-67","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-4534116","Poissons aquarium","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg"
"1771110427-68","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/buf-4534540","Bœuf","Prix sur demande","Diamalaye 2, Dakar, Sénégal",""
"1771110431-69","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-4540876","Chaton Persan","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4888897_uploaded_image1_1723397770.jpg"
"1771110435-70","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scotish-fold-4540889","Chaton Scotish Fold","750 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3915043_uploaded_image1_1665477189.jpg"
"1771110438-71","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cochons-dinde-4555313","Cochons d'inde","20 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3520078_uploaded_image1_1641925243.jpg"
"1771110442-72","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4568012","Boeuf","600 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4568012_uploaded_image1_1706543950.jpg"
"1771110447-73","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-4569529","Chaton Persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5426216_uploaded_image1_1752670435.jpg"
"1771110450-74","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-youyou-4570755","Perroquet youyou","10 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1771110454-75","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-fold-4571582","Chaton Scottish Fold","750 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg"
"1771110460-76","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-4592914","Chaton Persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5426216_uploaded_image1_1752670435.jpg"
"1771110464-77","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-hymalayen-4593854","Chaton Siamois Hymalayen","240 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110468-78","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4608863","Chaton","Prix sur demande","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4689687_uploaded_image1_1713000926.jpg"
"1771110472-79","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/poussins-de-canards-4619825","Poussins de canards","3 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4619825_uploaded_image1_1709296934.jpg"
"1771110476-80","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-4623023","Chat Persan Chinchilla","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5297087_uploaded_image1_1745527617.jpg"
"1771110491-81","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chat-brittish-shorthair-4629619","Chat Brittish Shorthair","700 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110494-82","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-hymalayen-persan-4639205","Chaton Hymalayen Persan","270 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4002094_uploaded_image1_1670612752.jpg"
"1771110499-83","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/cage-avec-3-oiseaux-4640165","Cage avec 3  oiseaux","60 000 CFA","Dakar, Sénégal",""
"1771110504-84","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-himalayen-4642742","Chaton Himalayen","270 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4864117_uploaded_image1_1722115248.jpg"
"1771110509-85","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chatons-4646165","Chatons","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg"
"1771110513-86","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-4650420","Canard Colvert","25 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_3422543_uploaded_image1_1636113502.jpg"
"1771110518-87","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/couple-perroquet-roseicollis-4651651","Couple perroquet  Roseicollis","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4651651_uploaded_image1_1710951067.jpg"
"1771110540-88","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chatons-4651939","Chatons","Prix sur demande","Mariste, Dakar, Sénégal",""
"1771110544-89","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-brune-4664799","Vache brune","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg"
"1771110547-90","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/paire-de-perruches-ondulees-4679396","Paire de perruches ondulées","40 000 CFA","Mamelles, Dakar, Sénégal",""
"1771110551-91","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/bufs-4679890","Bœufs","Prix sur demande","Parcelle Assainies, Dakar, Sénégal",""
"1771110555-92","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4689687","Chaton","Prix sur demande","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4689687_uploaded_image1_1713000926.jpg"
"1771110561-93","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4701407","Cailles","Prix sur demande","Touba, Sénégal","https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg"
"1771110565-94","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4723216","Hamster","5 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4110101_uploaded_image1_1677403384.jpg"
"1771110569-95","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4723220","Chat Siamois","300 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5512930_uploaded_image1_1757238545.jpg"
"1771110572-96","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-inseparable-4724298","Perroquet inséparable","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5214349_uploaded_image1_1741104524.jpg"
"1771110576-97","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441","Paon bleu","250 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3389732_uploaded_image1_1634436997.jpg"
"1771110580-98","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/3-chatons-4751663","3 chatons","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4751663_uploaded_image1_1716126912.jpg"
"1771110584-99","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4752043","Boeuf","800 000 CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_5317378_uploaded_image1_1746698849.jpg"
"1771110587-100","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-holstein-4753933","Vache  Montbéliard Holstein","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753933_uploaded_image1_1716257630.jpg"
"1771110591-101","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-et-holstein-4753935","Vache Montbéliard et Holstein","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1771110593-102","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-4753936","Vaches Montbéliarde","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1771110596-103","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-4755374","Chaton Scottish","450 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg"
"1771110602-104","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-laitiere-montbeliarde-4765247","Vache laitière Montbéliarde","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
