web_scraper_order,web_scraper_start_url,container_chien,Nom,Prix,Adresse,Image_lien
"1771110234-28","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/bichons-maltin-pure-race-4865327","Bichons maltin pure race","250 000 CFA","HLM, Dakar, Sénégal",""
"1771110241-29","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4867390","Chiot Caniche","150 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4893046_uploaded_image1_1723590343.jpg"
"1771110247-30","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/golden-retriever-4885131","Golden Retriever","300 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5540468_uploaded_image1_1758664107.jpg"
"1771110251-31","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/pitbull-4885134","Pitbull","135 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885134_uploaded_image1_1723173253.jpg"
"1771110256-32","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/berger-allemand-4885136","Berger Allemand","150 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5735854_uploaded_image1_1769103978.jpg"
"1771110262-33","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/berger-allemand-4888701","Berger allemand","150 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5429666_uploaded_image1_1752845223.jpg"
"1771110266-34","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4892261","Chiot Berger Allemand","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg"
"1771110270-35","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-femelle-caniche-4893046","Chiot femelle caniche","150 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4893046_uploaded_image1_1723590343.jpg"
"1771110274-36","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/berger-malinois-4910751","Berger Malinois","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4910751_uploaded_image1_1724605148.jpg"
"1771110278-37","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4920593","Chiot Rottweiler","300 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4920593_uploaded_image1_1725147642.jpg"
"1771110282-38","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4934038","Chiot bichon Maltais","150 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4934038_uploaded_image1_1725809065.jpg"
"1771110287-39","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4935684","Chiot Bichon","180 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5357093_uploaded_image1_1748892640.jpg"
"1771110290-40","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/couple-de-chiot-de-race-4937044","Couple de chiot de race","75 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4937044_uploaded_image1_1725971142.jpg"
"1771110293-41","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4943304","Chiot Berger Allemand","100 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5491012_uploaded_image1_1756047419.jpg"
"1771110297-42","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-chihuahua-4946002","Chiot chihuahua","390 000 CFA","Ngaparou, Sénégal","https://images.coinafrique.com/thumb_4946002_uploaded_image1_1726441968.jpg"
"1771110302-43","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4951773","Chiots Pitbull","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg"
"1771110307-44","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4951796","Chiot Boerboel","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4951796_uploaded_image1_1726751862.jpg"
"1771110312-45","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4951836","Chiot Bichon","120 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5521237_uploaded_image1_1757636811.jpg"
"1771110315-46","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4953869","Chiot Labrador","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5136517_uploaded_image1_1736959572.jpg"
"1771110318-47","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4953991","Chiot Bichon Maltais","120 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5104979_uploaded_image2_1734994461.jpeg"
"1771110322-48","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4960771","chiot boerboel","500 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4960771_uploaded_image1_1727238490.jpg"
"1771110325-49","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-croise-boer-et-root-4919750","Chiots croisé Boer et Root","150 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4919750_uploaded_image1_1725108338.jpg"
"1771110329-50","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4968555","Bichon maltais","180 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713394_uploaded_image1_1768013303.jpg"
"1771110332-51","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-pur-race-4968565","Bichon maltais pur race","180 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4968565_uploaded_image1_1727702109.jpg"
"1771110336-52","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-4969495","Chien","350 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4969495_uploaded_image1_1727744912.jpg"
"1771110340-53","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4993670","Chiot Bichon Maltais","300 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4993670_uploaded_image1_1728931466.jpg"
"1771110344-54","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-4996897","Berger allemand femelle","155 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_4996897_uploaded_image1_1729087539.jpg"
"1771110378-55","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-pure-race-5002785","Chiots labrador pure race","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5136517_uploaded_image1_1736959572.jpg"
"1771110389-56","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5016564","Chiot Berger Allemand","350 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5751732_uploaded_image1_1769889114.jpg"
"1771110394-57","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5044649","Chiot Rottweiler","300 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5044649_uploaded_image1_1731627517.jpg"
"1771110400-58","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/caniche-male-5054275","Caniche mâle","650 000 CFA","Almadies 2, Dakar, Sénégal",""
"1771110403-59","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/femelle-berger-allemand-4-mois-5065991","Femelle berger allemand 4 mois","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5065991_uploaded_image1_1732805663.jpg"
"1771110408-60","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/berger-malinois-5078573","Berger malinois","250 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5078573_uploaded_image1_1733447779.jpg"
"1771110412-61","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085579","Chiot Bichon Maltais","80 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713394_uploaded_image1_1768013303.jpg"
"1771110415-62","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085597","Chiot Bichon Maltais","80 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713394_uploaded_image1_1768013303.jpg"
"1771110419-63","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5085599","Chiot Bichon Maltais","80 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713394_uploaded_image1_1768013303.jpg"
"1771110423-64","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5090975","Chiot Bichon Maltais","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5104979_uploaded_image2_1734994461.jpeg"
"1771110427-65","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5104979","Chiot Bichon Maltais","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5104979_uploaded_image2_1734994461.jpeg"
"1771110431-66","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5114394","Chiot Berger Allemand","210 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5336125_uploaded_image1_1747687556.jpg"
"1771110434-67","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-5124976","Chien","275 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5377145_uploaded_image1_1750084686.jpg"
"1771110440-68","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5127074","Chiot Berger Allemand","250 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg"
"1771110443-69","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5131922","Chiot Berger Allemand","130 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg"
"1771110449-70","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-5133780","Chiots Bichons","175 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5357093_uploaded_image1_1748892640.jpg"
"1771110454-71","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-labrador-5136517","Chiot Labrador","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5136517_uploaded_image1_1736959572.jpg"
"1771110458-72","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-rottewaler-5155571","Chien Rottewaler","300 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5155571_uploaded_image1_1737992590.jpg"
"1771110463-73","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-doberman-5158454","Chiots Doberman","400 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5158454_uploaded_image1_1738138116.jpg"
"1771110467-74","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-5161997","Chiot Rottweiler","350 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5321351_uploaded_image1_1746881645.jpg"
"1771110471-75","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-dogo-canario-5178208","Chiots Dogo Canario","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5178208_uploaded_image1_1739149958.jpg"
"1771110474-76","https://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5186005","Chiot Berger Allemand","130 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5439144_uploaded_image1_1753362359.jpg"
"1771110486-77","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-5186967","Chiots Husky Sibérien","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5186967_uploaded_image1_1739620133.jpg"
"1771110490-78","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-rott-5192129","Chiot Rott","200 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5192129_uploaded_image1_1739908831.jpg"
"1771110493-79","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5199105","Chiot Berger Allemand","400 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5352744_uploaded_image2_1748635949.jpeg"
"1771110498-80","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-bichons-havanais-5199916","Chiot Bichons Havanais","130 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5498808_uploaded_image1_1756485463.jpg"
"1771110502-81","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-rott-5213979","Chiot Rott","300 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5213979_uploaded_image1_1741092307.jpg"
"1771110506-82","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-5213981","Chiot Malinois","250 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5690476_uploaded_image1_1766764470.jpg"
"1771110512-83","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-5221815","Chiot Bichon Maltais","175 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5221815_uploaded_image2_1741461038.jpeg"
"1771110515-84","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5222675","Chiot Berger Allemand","150 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5439144_uploaded_image1_1753362359.jpg"
"1771110522-85","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-5222912","Chiot Boerbull","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5222921_uploaded_image1_1741538962.jpg"
"1771110526-86","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-5222921","Chiot Boerbull","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5222921_uploaded_image1_1741538962.jpg"
"1771110531-87","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-5222994","Chiots","150 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5524392_uploaded_image1_1757805590.jpg"
"1771110535-88","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-5228717","Chiots Berger Allemand","300 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5290700_uploaded_image1_1745194550.jpg"
"1771110549-89","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-5249300","Chiots","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5690476_uploaded_image1_1766764470.jpg"
"1771110552-90","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-5251605","Chiens malinois","100 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5277780_uploaded_image1_1744399979.jpg"
"1771110556-91","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-husky-5253441","Chiots Husky","200 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5253441_uploaded_image1_1743081336.jpg"
"1771110559-92","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-5253443","Chiots Pitbull","150 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5253443_uploaded_image1_1743081531.jpg"
"1771110563-93","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-5256321","Chiots Dalmatiens","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256321_uploaded_image1_1743258183.jpg"
"1771110566-94","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-husky-femelle-5259188","Chiot Husky femelle","Prix sur demande","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5259188_uploaded_image1_1743466264.jpg"
"1771110569-95","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5268192","Chiot Berger Allemand","150 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg"
"1771110573-96","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-havanais-5272964","Chiot Bichon Havanais","150 000 CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5498808_uploaded_image1_1756485463.jpg"
"1771110576-97","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-5277780","Chiens malinois","100 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5277780_uploaded_image1_1744399979.jpg"
"1771110580-98","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5290700","Chiot Berger allemand","250 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5290700_uploaded_image1_1745194550.jpg"
"1771110583-99","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5293825","Chiot Berger Allemand","Prix sur demande","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg"
"1771110586-100","https://sn.coinafrique.com/categorie/chiens?page=2","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-5298958","Chiot Berger Allemand","200 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg"
